Ingredient,Average Price
Egg,5.71
Bread,2.83
Rye Bread,3.38
Wheaten Bread,2.99
White Bread,2.32
Wholewheat Bread,2.99
Wort,7.91
Arrack,7.94
Beer,10.29
Bantu Beer,
Brandy,5.64
Anise Brandy,
Apple Brandy,7.51
Armagnac Brandy,
Blackberry Brandy,
Cherry Brandy,7.99
Cognac Brandy,
Papaya Brandy,
Pear Brandy,6.24
Plum Brandy,
Raspberry Brandy,5.82
Weinbrand Brandy,
Gin,9.49
Rum,3.99
Whisky,17.16
Bourbon Whisky,
Canadian Whisky,5.75
Finnish Whisky,
Japanese Whisky,
Malt Whisky,
Scotch,4.79
Wine,6.49
Bilberry Wine,
Botrytized Wine,
Champagne,3.44
Cider,4.75
Plum Wine,
Port Wine,9.24
Red Wine,4.0
Rose Wine,3.0
Sake,10.38
Sherry,7.69
Sparkling Wine,8.26
Strawberry Wine,6.11
White Wine,8.24
Coffee,19.39
Mate,6.81
Black Tea,8.12
Green Tea,6.67
Roibos Tea,7.2
Barley,2.75
Crispbread,3.99
Malt,4.15
Oats,4.19
Rice,4.59
Corn,7.19
Corn Oil,6.59
Popcorn,5.66
Sweetcorn,4.18
Butter,7.72
Buttermilk,8.62
Cheese,6.25
Blue Cheese,5.66
Camembert Cheese,6.24
Cheddar Cheese,6.93
Comte Cheese,6.49
Cottage Cheese,4.1
Cream Cheese,3.75
Domiati Cheese,5.99
Emmental Cheese,6.74
Feta Cheese,5.55
Goat Cheese,6.49
Gruyere Cheese,7.49
Limburger Cheese,6.62
Mozzarella Cheese,6.74
Munster Cheese,6.49
Parmesan Cheese,6.39
Provolone Cheese,6.87
Romano Cheese,6.66
Roquefort Cheese,6.59
Russian Cheese,6.49
Sheep Cheese,8.37
Swiss Cheese,6.0
Tilsit Cheese,6.49
Ghee,15.49
Milk,5.41
Milk Fat,5.39
Goat Milk,5.14
Milk Powder,4.75
Sheep Milk,6.94
Skimmed Milk,5.29
Yogurt,4.91
Achilleas,
Arar,6.74
Buchu,
Cajeput,
Camphor,8.49
Cascarilla,
Cedar,10.69
Chamomile,4.62
Citronella Oil,7.0
Citrus Peel Oil,9.66
Eucalyptus Oil,10.39
Fir,5.49
Geranium,6.99
Grapefruit Peel Oil,6.29
Grass,6.1
Hops Oil,5.93
Hyacinth,
Hyssop Oil,5.79
Lemon Grass,4.32
Lemon Peel Oil,9.66
Lime Peel Oil,6.29
Lovage,6.39
Mandarin Orange Peel Oil,7.27
Mastic Gum,4.68
Mentha Oil,5.79
Myrrh,
Neroli Oil,7.0
Orange Oil,6.78
Orris,3.64
Clary Sage,
Red Sage,1.19
Spanish Sage,
Sandalwood,9.49
Sea Buckthorns,
Sweet Grass,3.0
Valerian,
Wattle,4.49
Yarrow,14.99
Ylang-Ylang,14.99
Clam,3.91
Crab,5.47
Crayfish,12.49
Kelp,3.12
Krill,
Lobster,5.91
Mollusc,
Oyster,3.93
Prawn,10.29
Scallop,6.19
Shellfish,7.19
